	level_0	index	font-family	font-size	color	left	top	language	text	innerWidth	innerHeight	link	boxID	width	manga	page_width	page_height	id	font-weight	margin	text-align	-webkit-writing-mode	-webkit-text-orientation
5	5	5	 yasashisa-antique, sans-serif	18.0	[' 0', '0', '0']	403.0	397.0	jp	"とても
一
ひと
人
り
じゃ
無
む
理
り
だよ"	145	66	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-8	5		Doraemon_Long_Stories	800	1273	6					
6	0	6	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	640.0	144.0	en	WAAA!	80	31	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-8	0	80.0	Doraemon_Long_Stories	800	1273	6					
7	1	7	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	296.0	141.0	en	THIS IS HEAVY!	106	50	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-8	1	106.0	Doraemon_Long_Stories	800	1273	6					
8	2	8	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	406.0	401.0	en	IT'S REALLY A BURDEN FOR ME ALONE!	149	69	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-8	5	149.0	Doraemon_Long_Stories	800	1273	6					
9	3	9	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	34.0	430.0	en	DORAE-MOOON!	123	50	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-8	2	123.0	Doraemon_Long_Stories	800	1273	6					
10	4	10	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	381.0	664.0	en	WHERE COULD HE POSSIBLY GO?	124	88	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-8	3	124.0	Doraemon_Long_Stories	800	1273	6					
11	5	11	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	552.0	844.0	en	CAN'T BE HELPED	98	50	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-8	4	98.0	Doraemon_Long_Stories	800	1273	6					
0	0	0	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	438.0	374.0	jp	"なあに
今
いま
の
音
おと
？"	76	96	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-9	0		Doraemon_Long_Stories	800	1301	7					
1	1	1	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	120.0	376.0	jp	"あ
いや
ご
心
しん
配
ぱい
なく"	130	75	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-9	1		Doraemon_Long_Stories	800	1301	7					
2	2	2	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	649.0	677.0	jp	"苦
く
労
ろう
して
もってきた
けど…"	103	117	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-9	2		Doraemon_Long_Stories	800	1301	7					
3	3	3	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	436.0	638.0	jp	"いったい
なんの
機
き
械
かい
だろう"	103	117	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-9	3		Doraemon_Long_Stories	800	1301	7					
